"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P4";"TinyTiM_Lib:Header_8x2";1;"Data_Out";;;
2;"C101,C201,C301,C401,C501,C601,C701,C801";"TinyTiM_Lib:c_0805";8;"100n";;;
3;"C117,C217,C317,C417,C517,C617,C717,C817";"TinyTiM_Lib:c_2917";8;"47u,8V";;;
4;"L101";"TinyTiM_Lib:OSHW_6mm";1;"OSHW";;;
5;"L102";"TinyTiM_Lib:Logo-WL3";1;"Wyolum";;;
6;"P125";"TinyTiM_Lib:ShortLink2";1;"G>H";;;
7;"P126";"TinyTiM_Lib:ShortLink2";1;"F>G";;;
8;"P127";"TinyTiM_Lib:ShortLink2";1;"E>F";;;
9;"P128";"TinyTiM_Lib:ShortLink2";1;"D>E";;;
10;"P129";"TinyTiM_Lib:ShortLink2";1;"C>D";;;
11;"P130";"TinyTiM_Lib:ShortLink2";1;"B>C";;;
12;"P131";"TinyTiM_Lib:ShortLink2";1;"A>B";;;
13;"PCB101";"TinyTiM_Lib:PCB";1;"CONN_1";;;
14;"S101,S102,S401,S402,S501,S502,S801,S802,S103,S104,S803,S804";"TinyTiM_Lib:Screw";12;"CONN_1";;;
15;"P1";"TinyTiM_Lib:Conn_x2_PTSM";1;"PWR_W";;;
16;"P2";"TinyTiM_Lib:Conn_x2_PTSM";1;"PWR_E";;;
17;"U808,U807,U806,U805,U804,U803,U802,U801,U708,U707,U706,U705,U704,U703,U702,U701,U608,U607,U606,U605,U604,U603,U602,U601,U508,U507,U506,U505,U504,U503,U502,U501,U408,U407,U406,U405,U404,U403,U402,U401,U308,U307,U306,U305,U304,U303,U302,U301,U208,U207,U206,U205,U204,U203,U202,U201,U108,U107,U106,U105,U104,U103,U102,U101";"TinyTiM_Lib:RGB_WS2811";64;"RGB_WS2811";;;
18;"P3";"TinyTiM_Lib:Header_8x2";1;"Data_In";;;
19;"P5";"Conn_x3_PTSM";1;"Data_In_Serial";;;
20;"P6";"Conn_x3_PTSM";1;"Data_Out_Serial";;;
