Id,Designator,Package,Quantity,Designation,Supplier and ref
1,P4,Header+AF8-8x2,1,Data+AF8-Out,
4,P3,Header+AF8-8x2,1,Data+AF8-In,
5,+ACI-U101,U808+ACI-,RGB+AF8-WS2811B,2,RGB+AF8-WS2811B,
13,+ACI-U102,U103,U104,U105,U106,U107,U108,U201,U202,U203,U204,U205,U206,U207,U208,U301,U302,U303,U304,U305,U306,U307,U308,U401,U402,U403,U404,U405,U406,U407,U408,U501,U502,U503,U504,U505,U506,U507,U508,U601,U602,U603,U604,U605,U606,U607,U608,U701,U702,U703,U704,U705,U706,U707,U708,U801,U802,U803,U804,U805,U806,U807+ACI-,RGB+AF8-WS2811B+AF8-Trans,62,RGB+AF8-WS2811B,
14,+ACI-C117,C217,C317,C417,C517,C617,C717,C817+ACI-,c+AF8-2917,8,+ACI-47u,8V+ACI-,
15,+ACI-P1,P5+ACI-,Conn+AF8-x3+AF8-PTSM,2,Data+AF8-In+AF8-Serial,
16,+ACI-P2,P6+ACI-,Conn+AF8-x3+AF8-PTSM,2,Data+AF8-Out+AF8-Serial,
17,+ACI-C801,C701,C601,C501,C401,C301,C201,C101+ACI-,c+AF8-0805,8,100n,
,,,,,
,,,,,
,,,,,
,,,,,
2,L101,OSHW+AF8-6mm,1,OSHW,
3,L102,Logo+AC0-WL3,1,Wyolum,
6,P125,ShortLink2,1,G+AD4-H,
7,P126,ShortLink2,1,F+AD4-G,
8,P127,ShortLink2,1,E+AD4-F,
9,P128,ShortLink2,1,D+AD4-E,
10,P129,ShortLink2,1,C+AD4-D,
11,P130,ShortLink2,1,B+AD4-C,
12,P131,ShortLink2,1,A+AD4-B,
18,+ACI-S804,S803,S802,S801,S502,S501,S402,S401,S104,S103,S102,S101+ACI-,Screw+AF8-NPTH,12,CONN+AF8-1,
