Reference, Value, Footprint, Datasheet, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
L101,OSHW,TinyTiM_Lib:OSHW_6mm,
L102,Wyolum,TinyTiM_Lib:Logo-WL3,
P125,G>H,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P126,F>G,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P127,E>F,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P128,D>E,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P129,C>D,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P130,B>C,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P131,A>B,TinyTiM_Libs:ShortLink2,,CONN HEADER 50POS .100" SGL GOLD,Header, Unshrouded, Male pin,,0.1",Samtec Inc,TSW-150-07-L-S,Digikey,SAM1031-50-ND,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P3,Data_In,TinyTiM_Lib:Header_8x2,
P4,Data_Out,TinyTiM_Lib:Header_8x2,
